mode_i,mode_j,pos_i,pos_j,s_ij
1,6,0.28071999999999997,0.6843199999999998,0.40359999999999985
1,10,0.28071999999999997,0.8071999999999999,0.47352000000000005
1,18,0.28071999999999997,0.052959999999999674,0.2277600000000003
1,22,0.28071999999999997,0.1758399999999991,0.10488000000000086
1,27,0.28071999999999997,0.5794399999999991,0.2987199999999991
1,37,0.28071999999999997,0.3866399999999981,0.10591999999999813
1,46,0.28071999999999997,0.9131199999999993,0.3676000000000007
6,10,0.6843199999999998,0.8071999999999999,0.1228800000000001
6,18,0.6843199999999998,0.052959999999999674,0.36863999999999986
6,22,0.6843199999999998,0.1758399999999991,0.4915199999999993
6,27,0.6843199999999998,0.5794399999999991,0.10488000000000075
6,37,0.6843199999999998,0.3866399999999981,0.2976800000000017
6,46,0.6843199999999998,0.9131199999999993,0.22879999999999945
10,18,0.8071999999999999,0.052959999999999674,0.24575999999999976
10,22,0.8071999999999999,0.1758399999999991,0.3686399999999992
10,27,0.8071999999999999,0.5794399999999991,0.22776000000000085
10,37,0.8071999999999999,0.3866399999999981,0.4205600000000018
10,46,0.8071999999999999,0.9131199999999993,0.10591999999999935
18,22,0.052959999999999674,0.1758399999999991,0.12287999999999943
18,27,0.052959999999999674,0.5794399999999991,0.4735200000000006
18,37,0.052959999999999674,0.3866399999999981,0.3336799999999984
18,46,0.052959999999999674,0.9131199999999993,0.1398400000000004
22,27,0.1758399999999991,0.5794399999999991,0.40359999999999996
22,37,0.1758399999999991,0.3866399999999981,0.210799999999999
22,46,0.1758399999999991,0.9131199999999993,0.26271999999999984
27,37,0.5794399999999991,0.3866399999999981,0.19280000000000097
27,46,0.5794399999999991,0.9131199999999993,0.3336800000000002
37,46,0.3866399999999981,0.9131199999999993,0.47351999999999883
